productToken,name,brand,brandToken,retailPrice,currency,rating,reviewCount,badge,isNew,isBestseller,isPromoted,caseSize,minOrderQty,availableUnits,brandCode,basedIn,hasActivePromo,image,url,searchQuery
p_k2j226ftys,GOLI SLEEP GUMMIES MIXED BERRY 30 SERV,L&F Universal Goods,b_ktcqb4hfg7,28.13,USD,3.9,68,,0,0,0,1,1,,6130005,USA,0,https://cdn.faire.com/fastly/10f2375b61fbf81eb1c54bf01496e8e2f9c6c701d8192a78da47eba91a7ab924.jpeg?bg-color=FFFFFF&canvas=1:1&fit=bounds&format=jpg,https://www.faire.com/product/p_k2j226ftys,THC gummies
p_9hryymn8gu,Calm TF down Pre-rolled pack,Angels Apoth-a-fairy,b_f9h2jz654t,27.0,USD,5.0,13,,0,0,0,1,3,,,USA,0,"https://cdn.faire.com/fastly/9bceb6c5e7d67783ca763c7c15f664714d3b5c3f52165e60d06325fbf33880db.jpeg?format=jpg&precrop=460,460,x394,y233,safe",https://www.faire.com/product/p_9hryymn8gu,THC gummies
p_y5ch4ngbj6,Mary Jane Candy Joints ,Cow Crack Wholesale,b_wxg6yqaab4,6.99,USD,4.9,457,,0,0,0,18,18,,mary-jane-candy-joints,USA,0,https://cdn.faire.com/fastly/f9cca8be9658b1a23cdae021bab7f5a1ffaf7b79a4c88ba4b6cf856f3960adbd.png?format=jpg&precrop=1:1,https://www.faire.com/product/p_y5ch4ngbj6,THC gummies
p_jwpn86yfth,"Mooosh- Not cotton candy, It's sweet fiber",Mooosh,b_xvuttv6w5z,2.9,USD,,2,,0,0,0,24,48,,850047454003,USA,0,"https://cdn.faire.com/fastly/e2800d326ce31308e29281c2a974cb5cc4abe3837c8d1122595ac93fb6053e66.jpeg?format=jpg&precrop=4092,4096,x0,y1021,safe",https://www.faire.com/product/p_jwpn86yfth,THC gummies
p_7kzbbwyb9u,Clever 2.2 Lb Pineapple Gummy bulk,Long Island Candy Factory,b_et6a66kd2z,25.0,USD,4.7,468,Bestseller,0,0,0,1,1,4,9828939,USA,1,https://cdn.faire.com/fastly/3c8ff5fb52ebda54fecb3f27472ead6dd61ae791ac6c6d5fa2cac38d37ca7d6c.jpeg?format=jpg,https://www.faire.com/product/p_7kzbbwyb9u,THC gummies
p_8h42jj4dxe,NEW Non Melatonin-Slumber Shots Sleep Aid | 12-Pack,Seattle Gummy Company,b_b8u198pwlc,44.88,USD,5.0,28,Bestseller,0,0,0,1,1,,1SSMFPB,USA,0,"https://cdn.faire.com/fastly/735f2690eb9ef684b4932a92f201a2ad4dd593490475902d88caa44642665c6c.jpeg?format=jpg&precrop=1150,1150,x26,y0,safe",https://www.faire.com/product/p_8h42jj4dxe,THC gummies
p_aszaphncig,"Blooming Lollipop Bundle (Eat, Plant & Grow an Herb/Flower)",Amborella Organics,b_f35ztgxn,2.99,USD,4.9,39,,0,1,0,150,150,,,USA,0,https://cdn.faire.com/fastly/64bb274d5d469657c85aabd16b9be53e9cd69a83df2a1628b51915c0454789f2.jpeg?format=jpg,https://www.faire.com/product/p_aszaphncig,THC gummies
p_4mk7p8dmmf,De-Stress Gummies,Reprise,b_fh6fxq2jxm,24.99,USD,5.0,4,,0,0,0,1,4,,,USA,0,https://cdn.faire.com/fastly/cc2271e96e0986be0c7b5dc7bdf44bcbf7585ac8e28d735df969bf79f4bfea3e.png?format=jpg,https://www.faire.com/product/p_4mk7p8dmmf,THC gummies
p_yxqsy9zjyb,Sunshine – Mood & Stress Gummies (Saffron + Ashwagandha),Jupiter Brands,b_c94uw8blq1,49.0,USD,,,New,1,0,0,6,6,105,1GUSUNSFG123,USA,0,"https://cdn.faire.com/fastly/864497fc088420b878cf3c65fda5afdf0252a3d00a352c2635fc779e1d159b74.jpeg?bg-color=FCE9D3&canvas=100p,115.15p,offset-x50p,offset-y0p&format=jpg&precrop=90.48p,72.01p,x2.95p,y27.98p",https://www.faire.com/product/p_yxqsy9zjyb,THC gummies
p_36lvq27rwm,Exotic Fruit Jellies - Single Pieces,Maui Fruit Jewels,b_ajf1uruaam,1.1,USD,4.8,77,Bestseller,0,0,0,,,,MFJ Single pieces,USA,0,https://cdn.faire.com/fastly/7d0f5114c06c718d5e468f7c1f164e630a5ef94fd32633543046dcd4477cd2a9.jpeg?format=jpg,https://www.faire.com/product/p_36lvq27rwm,THC gummies
p_ypdy6nk5m4,Suck a Bag of Dicks- 3oz Bag,Little Genie Productions,b_9xrb0xxfw4,6.6,USD,4.9,142,Bestseller,0,1,0,12,12,,CP.989,USA,0,"https://cdn.faire.com/fastly/1934cff22e74dfd88deeb9b335f1ed02c94019fb4c19457fdfca5a36196b90e8.png?format=jpg&precrop=1899,1900,x0,y249,safe",https://www.faire.com/product/p_ypdy6nk5m4,THC gummies
p_xfsjj26qqu,CBD Roll On,Neurogan CBD,b_4qzo6hgx6n,65.0,USD,5.0,13,,0,0,0,1,5,999424,US-HR100,USA,0,https://cdn.faire.com/fastly/06ad026f4465dca1f9797d8280c95cca6d6add0f6f9ac68ac26b021a2bb78121.jpeg?format=jpg&precrop=1:1,https://www.faire.com/product/p_xfsjj26qqu,THC gummies
p_vhdu3a32vc,Beet Root Energy Gummies 30ct - Natural Wellness Gummies,Havasu Nutrition,b_5xw1uzr9lv,11.99,USD,,,Bestseller,0,0,0,1,4,,7243485,USA,1,"https://cdn.faire.com/fastly/116189fbd41793701e5568ac9836f4026e8afee51eea59509b0b709e6a5d55af.png?format=jpg&precrop=1421,1421,x141,y116,safe",https://www.faire.com/product/p_vhdu3a32vc,THC gummies
p_ug4tyb6f3m,Chubby Chews,Chubby Chews,b_rq2sz56zxe,259.98,USD,,2,,0,0,0,1,1,,5HM-CC-2,USA,0,https://cdn.faire.com/fastly/b0bf333ab1eb0099dff651567074319e8ae1fb23835aad5dc5597d67cf64fc25.jpeg?format=jpg&precrop=1:1,https://www.faire.com/product/p_ug4tyb6f3m,THC gummies
p_gvrj22fwt4,Methylene Blue Gummies 1000 mg – USP Grade  | Brain & Mitochondrial Support | 60 Days Supply,HARMONIFY,b_3tcu7v7vc9,21.99,USD,4.6,84,Bestseller,0,0,0,1,5,,HAR-00056-MethyleneBlueGummies,USA,1,https://cdn.faire.com/fastly/86a61c80c41cc8f54dfd04b1779de6fdddde690682f5e7cf41484d0f1e8720cc.jpeg?format=jpg&precrop=1:1,https://www.faire.com/product/p_gvrj22fwt4,THC gummies
p_v2qsbnmdkk,Totally Products Ashwagandha Vegan Gummies - 60 Gummies,Totally Products,b_twtv3wwhst,24.95,USD,4.2,5,,0,0,0,1,1,196,ASHWA-GUMMY-1,USA,0,https://cdn.faire.com/fastly/8d1bd296115cc9fe0804869b43fb1312a35b9b9501fdf78ce305ac3f9867aaa4.png?format=jpg&precrop=1:1,https://www.faire.com/product/p_v2qsbnmdkk,THC gummies
p_pr8ec9gsns,Beauty Treats 195 Sweet Sugar Lip Scrub - 24pc,PINEAPPLE Beauty,b_b49kfp1ul2,3.2,USD,5.0,772,,0,0,0,24,24,91191,195,USA,0,https://cdn.faire.com/fastly/6a08fa80ff38eb02b4ab381dc13ce74155026499ccad6a2db08f35c0bea226de.jpeg?format=jpg,https://www.faire.com/product/p_pr8ec9gsns,THC gummies
p_ddwkftja43,Blue Raz Rest,Just Terps,b_x4rgmcj3dn,24.99,USD,,,,0,0,0,12,12,,,USA,0,https://cdn.faire.com/fastly/826543361e90863cfbe553351a6f02c353f075826091917469e86f7e69c5b670.png?format=jpg&precrop=1:1,https://www.faire.com/product/p_ddwkftja43,THC gummies
p_6qrt978zrg,Liposomal Glutathione,Cymbiotika,b_9lnqwiw9kl,87.99,USD,4.9,76,Bestseller,0,0,0,1,1,,DTC-GLUTATHI-PKT-26,USA,0,https://cdn.faire.com/fastly/b4cc7e4b6e06b91ceb9183170a74ea7a3669173558706933cc911c1283f47304.png?bg-color=FFFFFF&canvas=1:1&fit=bounds&format=jpg,https://www.faire.com/product/p_6qrt978zrg,THC gummies
p_7dquykew3t,ASYSTEM Sleep Gummies (Melatonin-Free) | 2ct Sample (25ct),ASYSTEM,b_b27qedqh21,5.0,USD,4.6,14,,0,0,0,25,25,2050,ASYS-CCS-SAMPLE-1,USA,0,https://cdn.faire.com/fastly/c31ed2b52651dc8ae72ac48734c2c2b0b7a6fa21fbdd91f0bdd31566d8d50703.webp?format=jpg&precrop=1:1,https://www.faire.com/product/p_7dquykew3t,THC gummies
p_mta6yatb9a,Nightcap — mushroom chocolate supplement for deep sleep,Alice Mushrooms,b_8bbemkycjh,29.0,USD,4.6,49,Bestseller,0,0,0,6,6,,NC-06,USA,1,"https://cdn.faire.com/fastly/3dba8db6ab8f1297ac5de9af9d9f3d03ade5ed2464ce1920a877160261f9a325.png?format=jpg&precrop=894,894,x70,y205,safe",https://www.faire.com/product/p_mta6yatb9a,THC gummies
p_4zkar9sjp3,Pure Saffron Gummies,ShakraVibe,b_bzyf2b2s2r,34.99,USD,,,,0,0,0,1,12,,GlowSaffron222,USA,0,"https://cdn.faire.com/fastly/94daeb79f4eef1883f5bb453245f021391f4e11a01e798cf501e5a2ba953b999.png?format=jpg&precrop=640,640,x205,y264,safe",https://www.faire.com/product/p_4zkar9sjp3,THC gummies
p_m97scqp4j6,NEW Bach Rescue Plus Mood & Stress Support Gummy 60 Count,RESCUE & Bach Original Flower Remedies,b_8imovmz0pp,20.99,USD,4.9,16,,0,0,0,3,3,,3004601,USA,0,https://cdn.faire.com/fastly/e5f0c40d87fc55d465b8260f815a5db7bf6a735f5040fb9359347d47f0306b77.jpeg?format=jpg&precrop=1:1,https://www.faire.com/product/p_m97scqp4j6,THC gummies
p_7wq6z6crtp,"Sour Cruncheez Gummy Candy: GF, Prebiotics, Low Sugar",Rotten Candy,b_7gscprkx7j,31.92,USD,5.0,25,Bestseller,0,0,0,1,1,1859,10202011,USA,0,https://cdn.faire.com/fastly/f255bc351059ad0388d387a213daf253e3132c911e5aafdbc6858ceb1d0361c9.jpeg?format=jpg&precrop=1:1,https://www.faire.com/product/p_7wq6z6crtp,THC gummies
p_7k6bbk5vnf,Protein Gummies,Isla Wellness,b_efdsdjj6ap,15.0,USD,,,,0,0,0,1,1,37,732388367788,USA,0,"https://cdn.faire.com/fastly/b002d2997251a77077bdabd4026206f35d7e32d9f91c347f5a4fc7d549e0a2db.jpeg?bg-color=FFFFFF&canvas=100p,100p,offset-x50p,offset-y50p&format=jpg&precrop=82.65p,82.65p,x9.12p,y0.07p",https://www.faire.com/product/p_7k6bbk5vnf,THC gummies
p_vsj4ycm8ud,Relax and Sleep Gummies ,Nummies,b_n9hrmt729e,32.99,USD,,,,0,0,0,1,24,,,USA,0,"https://cdn.faire.com/fastly/c8c5ca049872678b09166f99847dea7376608b2fa40ed11ef86496c05e7ccb63.webp?format=jpg&precrop=465,465,x154,y141,safe",https://www.faire.com/product/p_vsj4ycm8ud,THC gummies
p_9qqwkbhbzt,"Grüns Adult Superfood Greens Gummies, 30 Servings",Grüns,b_geekrzmdvu,59.99,USD,5.0,12,Bestseller,0,0,0,1,6,,70007,USA,0,"https://cdn.faire.com/fastly/6287ef9a0d829a2c8c25f642dd6d43a6bc587010196ec516863432c57d192688.jpeg?format=jpg&precrop=2521,2521,x745,y747,safe",https://www.faire.com/product/p_9qqwkbhbzt,THC gummies
p_4c3tggrvxa,Sample Pack of Sea Moss Gummies,Sea Moss Lyfe,b_tb9mpzntdb,10.0,USD,,,,0,0,0,1,80,,SML0,USA,0,"https://cdn.faire.com/fastly/335bb5cc09efafd4357201274abd69fb4ba51643c96258413485a482a1fe8b2e.jpeg?format=jpg&precrop=1200,1199,x200,y0,safe",https://www.faire.com/product/p_4c3tggrvxa,THC gummies
p_dmtq3ze8yh,"Natrol Melatonin Gummies, 10mg, 140 Strawberry, 70 Days",Everyday Supply Co,b_7xgwjjb7p6,52.0,USD,4.1,115,,0,0,0,1,1,25,KHE047469076832,USA,0,https://cdn.faire.com/fastly/abb790ca436f2dd883da6598ee3b735f38489d88a7cfddb87d137371d1296926.jpeg?format=jpg&precrop=1:1,https://www.faire.com/product/p_dmtq3ze8yh,THC gummies
p_z5sejjkqe4,Dream - Adaptogen Infused Relaxing Tonic - 24 Cans (4-Packs),BRĒZ,b_g7zgzs7nas,152.0,USD,5.0,4,,0,0,0,1,1,,W-BREZ-DM-L24,USA,0,https://cdn.faire.com/fastly/5287c32dc9dbaede55250d80b776f4abeaa8f9e3741c791a7f94b341d194a09f.jpeg?format=jpg,https://www.faire.com/product/p_z5sejjkqe4,THC gummies
p_qp85xekgjs,Sour Bears,BEHAVE,b_c34dn9cm2i,3.49,USD,4.4,21,Bestseller,0,0,0,6,6,146,BVBRS162,USA,0,"https://cdn.faire.com/fastly/526adcb55ad0841b06bbe4f117ba74634cee261034de7f1167b86fb3069499c8.png?format=jpg&precrop=1695,1695,x144,y118,safe",https://www.faire.com/product/p_qp85xekgjs,THC gummies
p_jp55k8p48y,Lil' Nitro World's Hottest Gummy Bear Flamethrower Candy 12c,Grandpa Joe's Candy Shop,b_ayvwhzhr3m,8.5,USD,4.9,1673,,0,0,0,12,12,,5900,USA,0,"https://cdn.faire.com/fastly/67d650e0d2fab475df7fda6346b41955bab921e4e02cd24f72d709a4c4b6a0df.jpeg?format=jpg&precrop=1199,1200,x0,y120,safe",https://www.faire.com/product/p_jp55k8p48y,THC gummies
p_8trejef4p7,Clarity Mushroom Gummies - Lion's Mane & Cordyceps (16 Pack),Kinoko Functionals,b_mr3x2xzrvr,25.0,USD,,,New,1,0,0,20,20,,765855976107,USA,0,https://cdn.faire.com/fastly/7f95456307de977055df956954d9ad200a1b7e7f6bbc598a922ee23f7baefac3.jpeg?format=jpg&precrop=1:1,https://www.faire.com/product/p_8trejef4p7,THC gummies
p_jep5bq2g53,Nightcap Sleep Gummies,Juna,b_eiwiyrsdzf,42.0,USD,5.0,10,New,1,0,0,1,1,,,USA,0,"https://cdn.faire.com/fastly/37c5407a61a5a49bbb73421c5f23ea140714ffbe6e7f349c0046109ab3883b7b.png?format=jpg&precrop=1322,1324,x0,y90,safe",https://www.faire.com/product/p_jep5bq2g53,THC gummies
p_w5fnahwurx,8oz Oy Chamoy! Sour Cucumber Lime Slices,Oy Chamoy!,b_djt8f6jkkv,7.99,USD,,2,,0,0,0,1,12,96,,USA,0,https://cdn.faire.com/fastly/b7f219dbda8b7fd4b0b4091f8e9a74dadd072ef88bc125bcbf22bfe7fef13510.png?format=jpg&precrop=1:1,https://www.faire.com/product/p_w5fnahwurx,THC gummies
p_d5ubn9zcwd,Creatine Monohydrate Gummies - Tropical Punch - 120 Vegan Gummies (30 Servings),Peach Perfect,b_4m4s8nnsez,38.98,USD,,,,0,0,0,12,12,,7J-O606-J80Q,USA,0,https://cdn.faire.com/fastly/ff913395d48e04b879f9f55f2e390c1ec50fb51f435875bcacceac62aa57c624.jpeg?format=jpg&precrop=1:1,https://www.faire.com/product/p_d5ubn9zcwd,THC gummies
p_r2uffn6dsj,B12 Energy Gummies 12 Pack - By Bevolto,Bevolto,b_5ffg8tuxxt,50.0,USD,,,,0,0,0,1,2,,G7000,USA,0,"https://cdn.faire.com/fastly/8b9cdc5ea7de70bb7abd72fb74288bd22a62d626fbace8b11200d6ffca3b9f30.jpeg?format=jpg&precrop=3177,3177,x372,y585,safe",https://www.faire.com/product/p_r2uffn6dsj,THC gummies
p_ykmex5bwyz,Grizzly Chews Honeyberry Gummies,Grizzly Foods,b_na83mkfjze,4.99,USD,5.0,3,,0,0,0,20,20,,,USA,0,"https://cdn.faire.com/fastly/dd07ee4aba619ee2691a39f065eca72864a98be602e730498cb09ef7c699f4e2.jpeg?format=jpg&precrop=2179,2179,x420,y1055,safe",https://www.faire.com/product/p_ykmex5bwyz,THC gummies
p_uz2gu9trph,Tangerine Sours,Sour Drops,b_qaceqxdpen,6.99,USD,5.0,8,Bestseller,0,0,0,16,16,,,USA,0,https://cdn.faire.com/fastly/d7a5e034ee3555ae1772c853193523cdd9609b9c414f61e239dc55c7f05184de.jpeg?format=jpg,https://www.faire.com/product/p_uz2gu9trph,THC gummies
p_qn4eqpeyu8,"Prosecco Bear Gummies, Chewy Candies, Alcohol-Free",Vesper Bites (No duties | Ships from CAN/USA),b_ph3b3kcz24,7.99,USD,5.0,9,,0,0,0,6,6,,VGB002,CAN,0,https://cdn.faire.com/fastly/3e73f5786d0898cd8e238733232096129e6e71cb64ec73c52c74bb7df7fb256f.jpeg?format=jpg,https://www.faire.com/product/p_qn4eqpeyu8,THC gummies
p_dcqadcu4c6,Skittles Gummies 36g-50g (CHINA),Worldwide Snacks INC,b_f5yarr9dda,6.0,USD,4.6,36,,0,0,0,,,,,USA,0,https://cdn.faire.com/fastly/56b12fd12357b1941e84a115b249635f835c57ebc70231841e3371ed1f74e130.png?format=jpg&precrop=1:1,https://www.faire.com/product/p_dcqadcu4c6,THC gummies
p_9z9dtry8gp,Lunakai Magnesium Glycinate Gummies 426mg with L‑Theanine,AlchePharma Naturals,b_wef5szym8e,25.94,USD,5.0,4,,0,0,0,1,1,72,Lnk3,USA,1,"https://cdn.faire.com/fastly/1c94e8b0d606861a14259b7e15a26a4fc5bc4d83a333f11dcaf6a08cd3ce6bf2.webp?format=jpg&precrop=250,251,x0,y24,safe",https://www.faire.com/product/p_9z9dtry8gp,THC gummies
p_z2sbffdz86,NOON Chill Mushroom Gummy Delights,NOON WORLD,b_x96z868tsx,32.0,USD,5.0,6,,0,0,0,4,8,,CHILLGUMMIES-1X,USA,0,"https://cdn.faire.com/fastly/5eba241e45b030ec83efc315c5a43842a66a802e337843a58145255af45c2561.jpeg?format=jpg&precrop=562,562,x131,y57,safe",https://www.faire.com/product/p_z2sbffdz86,THC gummies
p_ueh2x2uyax,Beam Creatine Gummies - Orange (30 servings) bag,Beam Organics,b_j8frta4jec,39.99,USD,,,New,1,0,0,1,1,,GMY-CRORG30B1,USA,0,https://cdn.faire.com/fastly/ac0dbc938d5bf086298ab8151f0ab755dd84aafa2814678ccb116674ad52c48d.jpeg?format=jpg&precrop=1:1,https://www.faire.com/product/p_ueh2x2uyax,THC gummies
p_e5agbccfy4,Creatine Gummies,Vybrance Labs™️,b_5kt53eyunn,49.99,USD,,,New,1,0,0,,,,X004SVHX35,USA,0,"https://cdn.faire.com/fastly/44b116b6991f0ca039494f144941012cd9f12ec57f1d4114267c43b1763d8f1e.jpeg?bg-color=FBFCFE&canvas=100p,102.02p,offset-x50p,offset-y0p&format=jpg&precrop=84.65p,92.16p,x11.87p,y7.83p",https://www.faire.com/product/p_e5agbccfy4,THC gummies
p_4a7avqrwrp,Calm Jar,No. 8,b_vtr3j4nrm2,55.0,USD,,,,0,0,0,6,6,500,CALMJAR,USA,0,https://cdn.faire.com/fastly/b48a6e5439c6494de1a70d6c0ced7a9d1ba8ceda735bd0fa6a0ef61121e73034.png?format=jpg&precrop=1:1,https://www.faire.com/product/p_4a7avqrwrp,THC gummies
p_tfjgr3ypda,Fungies Best Multi Mushroom Daily Gummies,Fungies Mushroom Gummies,b_528mheddfb,19.95,USD,4.8,6,,0,1,0,6,6,,08-108,USA,0,"https://cdn.faire.com/fastly/388fc6891b2fef7227bab24c810f1d1e709d8536866b3037ef254d527e7eec9f.png?format=jpg&precrop=2022,2022,x28,y30,safe",https://www.faire.com/product/p_tfjgr3ypda,THC gummies
p_2va66nd8f2,ZipZ - 5 packs - 12 unit case,Functional Sweets,b_s99rtghv4t,6.0,USD,5.0,5,,0,0,0,12,12,,55512,USA,0,"https://cdn.faire.com/fastly/e1ff8e598e019cbb241fe571a701ad1a00f5285deb85d372dae857be5f7183f1.jpeg?format=jpg&precrop=704,704,x680,y410,safe",https://www.faire.com/product/p_2va66nd8f2,THC gummies
p_et6m562gz2,Black Seed Oil Gummies (60 Gummies),Dorado Nutrition,b_92eppx2fuw,19.9,USD,4.8,8,,0,0,0,6,6,282,DN-BLACKSEEDGUM-60CT,USA,0,https://cdn.faire.com/fastly/4d7d2a777c23a1d6cb51a1c85868aa4f9c8fff892fc97692ba378e93a7f17699.jpeg?format=jpg,https://www.faire.com/product/p_et6m562gz2,THC gummies
